iter	Passed	Remaining
1346	18624	22855
1347	18638	22841
1348	18651	22826
1349	18664	22811
1350	18678	22798
1351	18691	22783
1352	18704	22769
1353	18720	22757
1354	18735	22745
1355	18749	22732
1356	18762	22717
1357	18776	22703
1358	18790	22689
1359	18803	22674
1360	18817	22660
1361	18829	22645
1362	18844	22633
1363	18859	22620
1364	18870	22603
1365	18885	22590
1366	18898	22575
1367	18912	22562
1368	18925	22547
1369	18939	22533
1370	18952	22519
1371	18968	22508
1372	18981	22493
1373	18995	22479
1374	19010	22466
1375	19023	22452
1376	19037	22438
1377	19051	22424
1378	19064	22410
1379	19079	22397
1380	19093	22384
1381	19107	22370
1382	19120	22355
1383	19134	22341
1384	19147	22326
1385	19158	22309
1386	19171	22295
1387	19184	22280
1388	19197	22265
1389	19210	22251
1390	19223	22236
1391	19235	22220
1392	19248	22205
1393	19259	22188
1394	19272	22174
1395	19283	22157
1396	19297	22143
1397	19311	22129
1398	19324	22115
1399	19338	22101
1400	19351	22086
1401	19365	22072
1402	19378	22058
1403	19392	22044
1404	19406	22030
1405	19420	22017
1406	19435	22004
1407	19448	21990
1408	19462	21976
1409	19475	21961
1410	19488	21947
1411	19502	21932
1412	19511	21914
1413	19524	21900
1414	19535	21882
1415	19549	21868
1416	19558	21850
1417	19572	21836
1418	19585	21821
1419	19599	21807
1420	19614	21794
1421	19627	21780
1422	19641	21766
1423	19654	21752
1424	19668	21738
1425	19681	21723
1426	19694	21709
1427	19707	21695
1428	19721	21680
1429	19734	21666
1430	19749	21654
1431	19763	21640
1432	19777	21626
1433	19790	21612
1434	19804	21598
1435	19817	21584
1436	19831	21570
1437	19845	21556
1438	19859	21542
1439	19869	21524
1440	19882	21510
1441	19892	21492
1442	19906	21478
1443	19919	21464
1444	19933	21450
1445	19946	21435
1446	19959	21421
1447	19974	21409
1448	19988	21395
1449	20001	21380
1450	20011	21362
1451	20024	21348
1452	20038	21334
1453	20051	21320
1454	20064	21305
1455	20077	21290
1456	20092	21278
1457	20106	21264
1458	20120	21251
1459	20134	21237
1460	20148	21224
1461	20163	21211
1462	20177	21198
1463	20193	21186
1464	20208	21173
1465	20226	21164
1466	20241	21152
1467	20258	21142
1468	20277	21133
1469	20292	21120
1470	20304	21105
1471	20319	21092
1472	20332	21077
1473	20344	21061
1474	20358	21049
1475	20376	21038
1476	20390	21025
1477	20405	21013
1478	20418	20998
1479	20432	20985
1480	20448	20972
1481	20462	20959
1482	20476	20945
1483	20490	20932
1484	20506	20920
1485	20517	20904
1486	20531	20890
1487	20544	20876
1488	20558	20861
1489	20571	20848
1490	20586	20834
1491	20600	20821
1492	20615	20808
1493	20629	20795
1494	20642	20780
1495	20656	20766
1496	20669	20752
1497	20683	20738
1498	20696	20724
1499	20710	20710
1500	20723	20695
1501	20734	20679
1502	20749	20666
1503	20762	20651
1504	20776	20638
1505	20789	20623
1506	20800	20606
1507	20813	20592
1508	20824	20576
1509	20839	20563
1510	20853	20549
1511	20867	20535
1512	20880	20521
1513	20893	20506
1514	20906	20492
1515	20920	20478
1516	20933	20464
1517	20947	20450
1518	20963	20438
1519	20976	20424
1520	20990	20410
1521	21004	20396
1522	21017	20382
1523	21048	20385
1524	21074	20383
1525	21099	20380
1526	21112	20365
1527	21125	20351
1528	21138	20336
1529	21151	20322
1530	21165	20308
1531	21180	20295
1532	21193	20280
1533	21202	20263
1534	21216	20249
1535	21230	20235
1536	21243	20220
1537	21256	20206
1538	21271	20192
1539	21280	20175
1540	21294	20160
1541	21307	20146
1542	21319	20131
1543	21330	20114
1544	21340	20097
1545	21353	20083
1546	21366	20068
1547	21381	20055
1548	21394	20040
1549	21408	20027
1550	21422	20013
1551	21433	19996
1552	21446	19983
1553	21460	19968
1554	21474	19955
1555	21487	19940
1556	21499	19925
1557	21513	19912
1558	21526	19897
1559	21540	19883
1560	21554	19869
1561	21567	19855
1562	21581	19841
1563	21596	19828
1564	21609	19814
1565	21622	19800
1566	21636	19786
1567	21647	19769
1568	21661	19756
1569	21672	19740
